eval_loss,eval_f1_overall,eval_f1_answerable,eval_f1_unanswerable,eval_bertscore_overall,eval_bertscore_answerable,eval_bertscore_unanswerable,eval_semantic_overall,eval_semantic_answerable,eval_semantic_unanswerable,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
21.55877685546875,0.22608831346158534,0.24489795918367346,0.2213859020310633,0.5943252444267273,0.5741084814071655,0.5993794351816177,0.465536504983902,0.45822519063949585,0.4673643708229065,13.0169,0.384,0.23,0.95,19
17.82623863220215,0.29167073029142,0.5454545454545455,0.22822477650063855,0.5931378602981567,0.5911353230476379,0.5936384946107864,0.48454397916793823,0.6045027375221252,0.45455431938171387,2.3709,2.109,1.265,1.9,38
13.511048316955566,0.22685314685314686,0.46153846153846156,0.16818181818181815,0.5910818696022033,0.6597002744674683,0.5739272683858871,0.49286842346191406,0.8139081597328186,0.41260847449302673,2.3691,2.111,1.266,2.85,57
4.885282039642334,0.12124542124542123,0.16666666666666666,0.10989010989010989,0.5756839156150818,0.602240264415741,0.569044828414917,0.4834340512752533,0.6729440093040466,0.43605655431747437,2.3706,2.109,1.265,3.8,76
4.709167957305908,0.1979020979020979,0.1818181818181818,0.20192307692307693,0.5789425253868103,0.6297101974487305,0.5662506073713303,0.5101958513259888,0.6817863583564758,0.4672982692718506,2.3623,2.117,1.27,4.75,95
4.527416706085205,0.20046620046620048,0.1818181818181818,0.20512820512820512,0.5591537356376648,0.6017817854881287,0.5484967231750488,0.49279332160949707,0.6829028725624084,0.4452659487724304,2.3591,2.119,1.272,5.7,114
4.332187175750732,0.23394383394383395,0.15384615384615383,0.25396825396825395,0.5736823081970215,0.6077203154563904,0.5651728063821793,0.5173453092575073,0.7455145716667175,0.46030303835868835,2.3717,2.108,1.265,6.65,133
3.8828389644622803,0.27064935064935064,0.1818181818181818,0.29285714285714287,0.5689892709255219,0.6229255795478821,0.5555051937699318,0.46193069219589233,0.6449115872383118,0.41618549823760986,2.3699,2.11,1.266,7.6,152
3.2225353717803955,0.2098701298701299,0.3636363636363636,0.17142857142857143,0.538572633266449,0.6316486597061157,0.5153036266565323,0.5329272150993347,0.7966935634613037,0.46698564291000366,2.3703,2.109,1.266,8.55,171
2.549468994140625,0.1935064935064935,0.1818181818181818,0.19642857142857145,0.5436591565608978,0.6064401865005493,0.527963899075985,0.5241265296936035,0.6806210279464722,0.48500287532806396,2.3612,2.118,1.271,9.5,190
1.912232756614685,0.2135064935064935,0.1818181818181818,0.22142857142857142,0.5520480215549469,0.6156483888626099,0.5361479297280312,0.4833725392818451,0.7093691229820251,0.4268733859062195,2.4483,2.042,1.225,10.45,209
1.3657442331314087,0.19047619047619047,0.16666666666666666,0.19642857142857145,0.5675838768482209,0.596888542175293,0.5602577105164528,0.43018072843551636,0.4659472405910492,0.42123910784721375,2.3751,2.105,1.263,11.4,228
0.9798991084098816,0.1935064935064935,0.1818181818181818,0.19642857142857145,0.5608847141265869,0.6017817854881287,0.5506604462862015,0.5014112591743469,0.6829028725624084,0.45603835582733154,2.3799,2.101,1.261,12.35,247
0.8071334958076477,0.2571428571428572,0.3333333333333333,0.23809523809523808,0.5732857942581177,0.6258108019828796,0.5601545423269272,0.47673192620277405,0.6142152547836304,0.442361056804657,2.3841,2.097,1.258,13.3,266
0.6515374779701233,0.22683982683982684,0.1818181818181818,0.23809523809523808,0.5753899335861206,0.6183907389640808,0.5646397322416306,0.4921334385871887,0.6371789574623108,0.4558720588684082,2.4091,2.075,1.245,14.25,285
0.5039626955986023,0.2571428571428572,0.3333333333333333,0.23809523809523808,0.5714475095272065,0.6221572756767273,0.5587700679898262,0.47813883423805237,0.6215734481811523,0.4422801733016968,2.3766,2.104,1.262,15.2,304
0.4482704699039459,0.2571428571428572,0.3333333333333333,0.23809523809523808,0.5827497243881226,0.6138049960136414,0.5749859064817429,0.5369085669517517,0.6971574425697327,0.49684637784957886,2.4843,2.013,1.208,16.15,323
0.41661393642425537,0.2571428571428572,0.3333333333333333,0.23809523809523808,0.5920139193534851,0.6381437182426453,0.5804814696311951,0.49683570861816406,0.6812712550163269,0.45072686672210693,2.393,2.089,1.254,17.1,342
0.37756261229515076,0.1935064935064935,0.1818181818181818,0.19642857142857145,0.5925499677658081,0.6280625462532043,0.583671823143959,0.4857049584388733,0.6757825016975403,0.43818560242652893,2.3606,2.118,1.271,18.05,361
0.3505220413208008,0.23123543123543122,0.1818181818181818,0.24358974358974358,0.5884189486503602,0.6279046535491943,0.5785475224256516,0.47391170263290405,0.6757825016975403,0.4234440326690674,2.369,2.111,1.266,19.0,380
0.34549519419670105,0.23123543123543122,0.1818181818181818,0.24358974358974358,0.5898196220397949,0.6279046535491943,0.5802983641624451,0.4870404601097107,0.6757825016975403,0.4398549795150757,2.4175,2.068,1.241,19.95,399
