,eval_loss,eval_accuracy,eval_f1,eval_accuracy_answerable_true,eval_accuracy_answerable_false,eval_cm,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.1316407024860382,0.09001636661211129,0.12852664576802506,0.1624790619765494,1.0,"[97, 500, 0, 14]",0.8061,758.017,95.527,0.29985119047619047,403
1,0.11751454323530197,0.25040916530278234,0.3810810810810811,0.6164154103852596,0.8571428571428571,"[368, 229, 2, 12]",0.8192,745.823,93.991,0.5997023809523809,806
2,0.10729598253965378,0.3076923076923077,0.4611464968152867,0.8023450586264657,0.5,"[479, 118, 7, 7]",0.8075,756.693,95.361,0.8995535714285714,1209
3,0.1065184473991394,0.3436988543371522,0.5043263288009888,0.8509212730318257,0.42857142857142855,"[508, 89, 8, 6]",0.8101,754.221,95.049,1.1994047619047619,1612
4,0.10906093567609787,0.32896890343698854,0.4913151364764268,0.914572864321608,0.21428571428571427,"[546, 51, 11, 3]",0.8118,752.65,94.851,1.4992559523809523,2015
5,0.10852503031492233,0.3895253682487725,0.5596221959858323,0.9296482412060302,0.07142857142857142,"[555, 42, 13, 1]",0.8135,751.05,94.65,1.7991071428571428,2418
6,0.10736490786075592,0.37152209492635024,0.5406698564593302,0.9045226130653267,0.07142857142857142,"[540, 57, 13, 1]",0.8158,748.976,94.388,2.0989583333333335,2821
7,0.1041584387421608,0.38461538461538464,0.5534441805225653,0.8877721943048577,0.14285714285714285,"[530, 67, 12, 2]",0.8125,752.034,94.774,2.3988095238095237,3224
8,0.10892198234796524,0.3780687397708674,0.5486935866983372,0.9195979899497487,0.0,"[549, 48, 14, 0]",0.817,747.816,94.242,2.6986607142857144,3627
9,0.10809333622455597,0.3960720130932897,0.5663924794359578,0.9128978224455612,0.07142857142857142,"[545, 52, 13, 1]",0.8147,749.973,94.514,2.9985119047619047,4030
