,eval_loss,eval_accuracy,eval_f1_macro,eval_accuracy_answerable_true,eval_accuracy_answerable_false,eval_cm,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.12581153213977814,0.9668727399976671,0.49157869766338513,0.0,1.0,"[0, 597, 0, 14]",1.2321,495.894,62.494,0.09883720930232558,68
1,0.12316422164440155,0.9668727399976671,0.49157869766338513,0.0,1.0,"[0, 597, 0, 14]",1.2382,493.455,62.187,0.19767441860465115,136
2,0.1213870421051979,0.966851531764631,0.4915732154410179,0.0016750418760469012,1.0,"[1, 596, 0, 14]",1.3327,458.471,57.778,0.29651162790697677,204
3,0.12182434648275375,0.9668727399976671,0.5468002246128317,0.20770519262981574,1.0,"[124, 473, 0, 14]",1.3299,459.449,57.901,0.3953488372093023,272
4,0.11892151087522507,0.9671060305610638,0.501433923318833,0.03685092127303183,1.0,"[22, 575, 0, 14]",1.3298,459.479,57.905,0.4941860465116279,340
5,0.11673662811517715,0.9674241540566048,0.5135082174490729,0.05862646566164154,0.9285714285714286,"[35, 562, 1, 13]",1.3312,458.993,57.844,0.5930232558139535,408
6,0.11830358952283859,0.9677422775521457,0.5277904887804217,0.10217755443886097,0.9285714285714286,"[61, 536, 1, 13]",1.4958,408.471,51.477,0.6918604651162791,476
7,0.11599617451429367,0.9682300669119752,0.5665798586214629,0.22445561139028475,0.9285714285714286,"[134, 463, 1, 13]",1.3311,459.005,57.845,0.7906976744186046,544
8,0.11553987860679626,0.9683785245432277,0.5698033326842505,0.20268006700167504,0.9285714285714286,"[121, 476, 1, 13]",1.3312,458.991,57.843,0.8895348837209303,612
9,0.11553460359573364,0.9683997327762638,0.5769048597227396,0.23618090452261306,0.9285714285714286,"[141, 456, 1, 13]",1.3381,456.618,57.544,0.9883720930232558,680
