,eval_loss,eval_accuracy,eval_f1,eval_accuracy_answerable_true,eval_accuracy_answerable_false,eval_cm,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.12409880757331848,0.022913256955810146,0.0,0.0,1.0,"[0, 597, 0, 14]",0.8004,763.405,96.207,0.29941860465116277,206
1,0.11874856799840927,0.03600654664484452,0.029654036243822075,0.11222780569514237,0.9285714285714286,"[67, 530, 1, 13]",0.7974,766.26,96.566,0.5988372093023255,412
2,0.11466874927282333,0.1260229132569558,0.1933534743202417,0.32663316582914576,0.9285714285714286,"[195, 402, 1, 13]",0.7989,764.847,96.388,0.8982558139534884,618
3,0.11223423480987549,0.14893617021276595,0.24198250728862974,0.35510887772194305,0.5714285714285714,"[212, 385, 6, 8]",0.7969,766.706,96.623,1.197674418604651,824
4,0.11601359397172928,0.24222585924713586,0.37516869095816463,0.6834170854271356,0.6428571428571429,"[408, 189, 5, 9]",0.7987,764.96,96.403,1.497093023255814,1030
5,0.10350435972213745,0.2602291325695581,0.3941018766756032,0.541038525963149,0.8571428571428571,"[323, 274, 2, 12]",0.8005,763.312,96.195,1.7965116279069768,1236
6,0.11020833998918533,0.29623567921440264,0.4501278772378517,0.8592964824120602,0.35714285714285715,"[513, 84, 9, 5]",0.7951,768.454,96.843,2.0959302325581395,1442
7,0.10727409273386002,0.32242225859247137,0.471938775510204,0.7721943048576214,0.8571428571428571,"[461, 136, 2, 12]",0.7968,766.786,96.633,2.395348837209302,1648
8,0.10227354615926743,0.32078559738134205,0.4713375796178344,0.7420435510887772,0.7857142857142857,"[443, 154, 3, 11]",0.7962,767.431,96.714,2.6947674418604652,1854
9,0.10560213029384613,0.3355155482815057,0.48994974874371866,0.7839195979899497,0.7142857142857143,"[468, 129, 4, 10]",0.7993,764.434,96.336,2.994186046511628,2060
