replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
True,0.01,64,512,6,0.01,5.023046597847663
True,0.01,64,512,3,0.1,4.6531893873599985
True,0.01,64,512,3,0.05,4.741788888436952
True,0.01,64,512,3,0.01,4.988421393300229
True,0.01,64,512,1,0.1,4.849718247384592
True,0.01,64,512,1,0.05,4.948043391747531
True,0.01,64,512,1,0.01,5.044244205529383
False,0.01,64,512,6,0.1,5.020569546167861
False,0.01,64,512,6,0.05,5.020569546167861
False,0.01,64,512,6,0.01,5.020569546167861
False,0.01,64,512,3,0.1,4.97167821816586
False,0.01,64,512,3,0.05,4.97167821816586
False,0.01,64,512,3,0.01,4.97167821816586
False,0.01,64,512,1,0.1,4.941174698587232
False,0.01,64,512,1,0.05,4.941174698587232
False,0.01,64,512,1,0.01,4.941174698587232
True,0.05,64,512,6,0.1,4.515324423667287
True,0.05,64,512,6,0.05,4.666750445582246
True,0.05,64,512,6,0.01,4.956418718441145
True,0.05,64,512,3,0.1,4.5578405497013375
True,0.05,64,512,3,0.05,4.682656309188264
True,0.05,64,512,3,0.01,4.9304177519547565
True,0.05,64,512,1,0.1,4.785415063814171
True,0.05,64,512,1,0.05,4.885905483629927
True,0.05,64,512,1,0.01,4.99264317613866
False,0.05,64,512,6,0.1,4.6073062012401556
False,0.05,64,512,6,0.05,4.6073062012401556
False,0.05,64,512,6,0.01,4.797648922414643
False,0.05,64,512,3,0.1,4.5884987032139355
False,0.05,64,512,3,0.05,4.5884987032139355
False,0.05,64,512,3,0.01,4.75502967419574
False,0.05,64,512,1,0.1,4.637501537762791
False,0.05,64,512,1,0.05,4.637501537762791
False,0.05,64,512,1,0.01,4.781853960936969
True,0.1,64,512,6,0.1,4.4580294539129754
True,0.1,64,512,6,0.05,4.664434799872399
True,0.1,64,512,6,0.01,4.965950852969628
True,0.1,64,512,3,0.1,4.473947967484251
True,0.1,64,512,3,0.05,4.662453383225843
True,0.1,64,512,3,0.01,4.932625037976272
True,0.1,64,512,1,0.1,4.719958010188091
True,0.1,64,512,1,0.05,4.877768151133308
True,0.1,64,512,1,0.01,4.996111741193412
False,0.1,64,512,6,0.1,4.429099071240707
False,0.1,64,512,6,0.05,4.429099071240707
False,0.1,64,512,6,0.01,4.797851009499293
False,0.1,64,512,3,0.1,4.434542419897095
False,0.1,64,512,3,0.05,4.434542419897095
False,0.1,64,512,3,0.01,4.758519838580884
False,0.1,64,512,1,0.1,4.494118884900403
False,0.1,64,512,1,0.05,4.494118884900403
False,0.1,64,512,1,0.01,4.798781487717993
True,0.01,128,128,6,0.1,4.821350717633463
True,0.01,128,128,6,0.05,4.958105937229913
True,0.01,128,128,6,0.01,5.259818301132705
True,0.01,128,128,3,0.1,4.964802513217393
True,0.01,128,128,3,0.05,5.059424165319108
True,0.01,128,128,3,0.01,5.329453039198947
True,0.01,128,128,1,0.1,5.008710026666939
True,0.01,128,128,1,0.05,5.091717981714281
True,0.01,128,128,1,0.01,5.254690749664496
False,0.01,128,128,6,0.1,5.2547517717810726
False,0.01,128,128,6,0.05,5.2547517717810726
False,0.01,128,128,6,0.01,5.2547517717810726
False,0.01,128,128,3,0.1,5.333311454934167
False,0.01,128,128,3,0.05,5.333311454934167
False,0.01,128,128,3,0.01,5.333311454934167
False,0.01,128,128,1,0.1,5.311530125963532
