,over_sampling,under_sampling,accuracy,true_accuracy,false_accuracy,loss
0,0.0,0.0,0.7578125,1.0,0.0,0.5901535153388977
1,0.0,0.25,0.24479166666666666,0.024054982817869417,0.9354838709677419,0.6995821595191956
2,0.0,0.5,0.7578125,1.0,0.0,0.6774546504020691
3,0.0,1.0,0.7578125,1.0,0.0,0.5901535153388977
4,0.25,0.0,0.7708333333333334,0.9621993127147767,0.17204301075268819,0.5840737223625183
5,0.25,0.25,0.4166666666666667,0.37800687285223367,0.5376344086021505,0.7578740119934082
6,0.25,0.5,0.734375,0.8831615120274914,0.26881720430107525,0.6333540678024292
7,0.25,1.0,0.7708333333333334,0.9621993127147767,0.17204301075268819,0.5840737223625183
8,0.5,0.0,0.796875,0.9450171821305842,0.3333333333333333,0.9800826907157898
9,0.5,0.25,0.6484375,0.6941580756013745,0.5053763440860215,0.6373275518417358
10,0.5,0.5,0.6744791666666666,0.8625429553264605,0.08602150537634409,0.6908084750175476
11,0.5,1.0,0.796875,0.9450171821305842,0.3333333333333333,0.9800826907157898
12,1.0,0.0,0.7708333333333334,0.9553264604810997,0.1935483870967742,1.372310996055603
13,1.0,0.25,0.23177083333333334,0.010309278350515464,0.9247311827956989,0.8713729381561279
14,1.0,0.5,0.7109375,0.8109965635738832,0.3978494623655914,0.9271261096000671
15,1.0,1.0,0.7708333333333334,0.9553264604810997,0.1935483870967742,1.372310996055603
