,over_sampling,under_sampling,accuracy,true_accuracy,false_accuracy,loss
0,0.0,0.0,0.9466292134831461,1.0,0.0,0.2113899290561676
1,0.0,0.25,0.9466292134831461,1.0,0.0,0.6073577404022217
2,0.0,0.5,0.9466292134831461,1.0,0.0,0.2056637406349182
3,0.0,1.0,0.9466292134831461,1.0,0.0,0.2113899290561676
4,0.25,0.0,0.9410112359550562,0.9762611275964391,0.3157894736842105,0.1709236353635788
5,0.25,0.25,0.8426966292134831,0.8635014836795252,0.47368421052631576,0.40418028831481934
6,0.25,0.5,0.9101123595505618,0.9436201780415431,0.3157894736842105,0.6524609327316284
7,0.25,1.0,0.9410112359550562,0.9762611275964391,0.3157894736842105,0.1709236353635788
8,0.5,0.0,0.9634831460674157,0.973293768545994,0.7894736842105263,0.182133749127388
9,0.5,0.25,0.9353932584269663,0.9406528189910979,0.8421052631578947,0.21620306372642517
10,0.5,0.5,0.9606741573033708,0.973293768545994,0.7368421052631579,0.21031153202056885
11,0.5,1.0,0.9634831460674157,0.973293768545994,0.7894736842105263,0.182133749127388
12,1.0,0.0,0.9803370786516854,0.9910979228486647,0.7894736842105263,0.15102484822273254
13,1.0,0.25,0.8089887640449438,0.827893175074184,0.47368421052631576,0.4037100076675415
14,1.0,0.5,0.9662921348314607,0.9762611275964391,0.7894736842105263,0.21262967586517334
15,1.0,1.0,0.9803370786516854,0.9910979228486647,0.7894736842105263,0.15102484822273254
