,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_f1_macro,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.7432570457458496,0.1015625,0.01031494140625,0.1015625,0.01872783687943262,0.09219858156028368,"[26, 0, 230, 0]",4.2321,60.49,7.561,0.09652509652509653,25
1,0.6778261065483093,0.734375,0.8922282380151388,0.734375,0.7848310872753941,0.601026769343601,"[20, 6, 62, 168]",4.2362,60.432,7.554,0.19305019305019305,50
2,1.1754004955291748,0.28515625,0.8750949007651841,0.28515625,0.33443797083699217,0.2782733280953922,"[24, 2, 181, 49]",4.2706,59.945,7.493,0.28957528957528955,75
3,0.547881007194519,0.85546875,0.9211831467661692,0.85546875,0.8764792078428003,0.7286815043968949,"[22, 4, 33, 197]",4.3873,58.351,7.294,0.3861003861003861,100
4,0.20354342460632324,0.94140625,0.9594014016897081,0.94140625,0.9464135906040269,0.8678368611254518,"[25, 1, 14, 216]",4.1868,61.144,7.643,0.4826254826254826,125
5,0.2369588017463684,0.95703125,0.9669168148028443,0.95703125,0.9597723410635746,0.897640943622551,"[25, 1, 10, 220]",4.321,59.246,7.406,0.5791505791505791,150
6,0.25078293681144714,0.94921875,0.9629583564729113,0.94921875,0.9530299916922967,0.8823487821260649,"[25, 1, 12, 218]",4.4352,57.721,7.215,0.6756756756756757,175
7,0.23391225934028625,0.9609375,0.9690687930577637,0.9609375,0.9631959808259586,0.9056047197640118,"[25, 1, 9, 221]",4.3317,59.099,7.387,0.7722007722007722,200
8,0.23974663019180298,0.9609375,0.9690687930577637,0.9609375,0.9631959808259586,0.9056047197640118,"[25, 1, 9, 221]",4.155,61.613,7.702,0.8687258687258688,225
9,0.24324485659599304,0.9609375,0.9690687930577637,0.9609375,0.9631959808259586,0.9056047197640118,"[25, 1, 9, 221]",4.0214,63.659,7.957,0.9652509652509652,250
