,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_f1_macro,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.6704840064048767,0.6296296296296297,0.9700763164992782,0.6296296296296297,0.7503742084052963,0.43341968911917095,"[5, 1, 89, 148]",3.1572,76.966,9.819,0.09981167608286252,53
1,0.13347817957401276,0.9588477366255144,0.9798679944240352,0.9588477366255144,0.9667249509881842,0.7392703862660944,"[5, 1, 9, 228]",2.9165,83.318,10.629,0.19962335216572505,106
2,0.129193514585495,0.9711934156378601,0.9867046533713201,0.9711934156378601,0.976283996532691,0.8082948270032684,"[6, 0, 7, 230]",2.9873,81.345,10.377,0.2994350282485876,159
3,0.19050192832946777,0.9670781893004116,0.9858906525573192,0.9670781893004116,0.9733799607905473,0.7914163090128755,"[6, 0, 8, 229]",3.0541,79.566,10.15,0.3992467043314501,212
4,0.20983518660068512,0.9711934156378601,0.9867046533713201,0.9711934156378601,0.976283996532691,0.8082948270032684,"[6, 0, 7, 230]",3.1187,77.917,9.94,0.4990583804143126,265
5,0.2183205783367157,0.9629629629629629,0.9851851851851852,0.9629629629629629,0.9705410479604027,0.776036866359447,"[6, 0, 9, 228]",3.3969,71.536,9.126,0.5988700564971752,318
6,0.15080630779266357,0.9794238683127572,0.9887766554433222,0.9794238683127572,0.9823400891589361,0.847610686065471,"[6, 0, 5, 232]",3.7295,65.156,8.312,0.6986817325800376,371
7,0.14828011393547058,0.9753086419753086,0.9876543209876543,0.9753086419753086,0.9792655903767016,0.8269230769230769,"[6, 0, 6, 231]",3.7837,64.223,8.193,0.7984934086629002,424
8,0.15273159742355347,0.9794238683127572,0.9887766554433222,0.9794238683127572,0.9823400891589361,0.847610686065471,"[6, 0, 5, 232]",3.9794,61.064,7.79,0.8983050847457628,477
9,0.15339623391628265,0.9794238683127572,0.9887766554433222,0.9794238683127572,0.9823400891589361,0.847610686065471,"[6, 0, 5, 232]",4.6351,52.426,6.688,0.9981167608286252,530
