,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_f1_macro,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.30014997720718384,0.8970588235294118,0.945397858955965,0.8970588235294118,0.9183135196335752,0.5835520559930009,"[2, 3, 11, 120]",1.8799,72.345,9.043,0.39819004524886875,88
1,0.4295197129249573,0.9117647058823529,0.9560570945075968,0.9117647058823529,0.9299830168287788,0.6430446194225722,"[3, 2, 10, 121]",1.7969,75.687,9.461,0.7963800904977375,176
2,0.4073917865753174,0.9632352941176471,0.9597259358288771,0.9632352941176471,0.9612627053356196,0.712716518800169,"[2, 3, 2, 129]",1.7954,75.748,9.469,1.1945701357466063,264
3,0.38531213998794556,0.9705882352941176,0.9660179861418252,0.9705882352941176,0.967023172905526,0.7424242424242424,"[2, 3, 1, 130]",2.2833,59.563,7.445,1.5927601809954752,352
4,0.4237007796764374,0.9705882352941176,0.9714596949891066,0.9705882352941176,0.9610054548135042,0.6591478696741855,"[1, 4, 0, 131]",2.2628,60.101,7.513,1.990950226244344,440
5,0.3857751786708832,0.9705882352941176,0.9660179861418252,0.9705882352941176,0.967023172905526,0.7424242424242424,"[2, 3, 1, 130]",2.3597,57.635,7.204,2.3891402714932126,528
6,0.3623134195804596,0.9779411764705882,0.9784350307287094,0.9779411764705882,0.9733391469795466,0.7800539083557951,"[2, 3, 0, 131]",2.3323,58.311,7.289,2.7873303167420813,616
7,0.36705461144447327,0.9779411764705882,0.9784350307287094,0.9779411764705882,0.9733391469795466,0.7800539083557951,"[2, 3, 0, 131]",2.1597,62.972,7.871,3.1855203619909505,704
8,0.3664599359035492,0.9779411764705882,0.9784350307287094,0.9779411764705882,0.9733391469795466,0.7800539083557951,"[2, 3, 0, 131]",2.2831,59.569,7.446,3.583710407239819,792
9,0.36636677384376526,0.9779411764705882,0.9784350307287094,0.9779411764705882,0.9733391469795466,0.7800539083557951,"[2, 3, 0, 131]",2.2822,59.591,7.449,3.981900452488688,880
