,over_sampling,under_sampling,accuracy,true_accuracy,false_accuracy,loss
0,0.0,0.0,0.8674698795180723,0.977961432506887,0.09615384615384616,0.40461042523384094
1,0.0,0.25,0.8530120481927711,0.9559228650137741,0.1346153846153846,0.5992653965950012
2,0.0,0.5,0.8506024096385543,0.931129476584022,0.28846153846153844,0.38917022943496704
3,0.0,1.0,0.8674698795180723,0.977961432506887,0.09615384615384616,0.40461042523384094
4,0.25,0.0,0.9783132530120482,0.9807162534435262,0.9615384615384616,0.09832428395748138
5,0.25,0.25,0.8337349397590361,0.8898071625344353,0.4423076923076923,0.45544102787971497
6,0.25,0.5,0.8554216867469879,0.953168044077135,0.17307692307692307,0.40588510036468506
7,0.25,1.0,0.9783132530120482,0.9807162534435262,0.9615384615384616,0.09832428395748138
8,0.5,0.0,0.9783132530120482,0.9807162534435262,0.9615384615384616,0.12004116177558899
9,0.5,0.25,0.9686746987951808,0.9669421487603306,0.9807692307692307,0.13971930742263794
10,0.5,0.5,0.983132530120482,0.9834710743801653,0.9807692307692307,0.09471315890550613
11,0.5,1.0,0.9783132530120482,0.9807162534435262,0.9615384615384616,0.12004116177558899
12,1.0,0.0,0.9759036144578314,0.9752066115702479,0.9807692307692307,0.09899596869945526
13,1.0,0.25,0.9783132530120482,0.9807162534435262,0.9615384615384616,0.1137162521481514
14,1.0,0.5,0.980722891566265,0.9834710743801653,0.9615384615384616,0.10800547897815704
15,1.0,1.0,0.9759036144578314,0.9752066115702479,0.9807692307692307,0.09899596869945526
