,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.7432572841644287,0.1015625,0.0,0.0,0.0,"[26, 0, 230, 0]",5.0058,51.141,6.393,0.09652509652509653,25
1,0.6757744550704956,0.75390625,0.9664804469273743,0.7521739130434782,0.8459657701711492,"[20, 6, 57, 173]",4.9521,51.696,6.462,0.19305019305019305,50
2,0.8931546211242676,0.4921875,0.9901960784313726,0.4391304347826087,0.608433734939759,"[25, 1, 129, 101]",6.2554,40.925,5.116,0.28957528957528955,75
3,0.1658715158700943,0.9609375,0.9954954954954955,0.9608695652173913,0.9778761061946902,"[25, 1, 9, 221]",5.0141,51.056,6.382,0.3861003861003861,100
4,0.15105167031288147,0.9609375,0.9954954954954955,0.9608695652173913,0.9778761061946902,"[25, 1, 9, 221]",4.9626,51.586,6.448,0.4826254826254826,125
5,0.22086936235427856,0.9609375,0.9954954954954955,0.9608695652173913,0.9778761061946902,"[25, 1, 9, 221]",4.902,52.223,6.528,0.5791505791505791,150
6,0.2263416051864624,0.9609375,0.9954954954954955,0.9608695652173913,0.9778761061946902,"[25, 1, 9, 221]",4.8367,52.929,6.616,0.6756756756756757,175
7,0.23547568917274475,0.9609375,0.9954954954954955,0.9608695652173913,0.9778761061946902,"[25, 1, 9, 221]",4.9679,51.531,6.441,0.7722007722007722,200
8,0.23872891068458557,0.9609375,0.9954954954954955,0.9608695652173913,0.9778761061946902,"[25, 1, 9, 221]",5.14,49.805,6.226,0.8687258687258688,225
9,0.24450938403606415,0.9609375,0.9954954954954955,0.9608695652173913,0.9778761061946902,"[25, 1, 9, 221]",4.9501,51.716,6.465,0.9652509652509652,250
