,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.22556936740875244,0.9411764705882353,0.9767441860465116,0.9618320610687023,0.9692307692307692,"[2, 3, 5, 126]",2.9052,46.813,5.852,0.39819004524886875,88
1,0.6462178230285645,0.8529411764705882,0.9826086956521739,0.8625954198473282,0.9186991869918699,"[3, 2, 18, 113]",2.7789,48.941,6.118,0.7963800904977375,176
2,0.5490727424621582,0.9411764705882353,0.9767441860465116,0.9618320610687023,0.9692307692307692,"[2, 3, 5, 126]",2.7245,49.917,6.24,1.1945701357466063,264
3,0.329721599817276,0.9779411764705882,0.9776119402985075,1.0,0.9886792452830189,"[2, 3, 0, 131]",2.8545,47.644,5.955,1.5927601809954752,352
4,0.44739460945129395,0.9705882352941176,0.9703703703703703,1.0,0.9849624060150376,"[1, 4, 0, 131]",3.857,35.261,4.408,1.990950226244344,440
5,0.42232149839401245,0.9705882352941176,0.9703703703703703,1.0,0.9849624060150376,"[1, 4, 0, 131]",2.7649,49.188,6.149,2.3891402714932126,528
6,0.4255844056606293,0.9705882352941176,0.9703703703703703,1.0,0.9849624060150376,"[1, 4, 0, 131]",1.7523,77.614,9.702,2.7873303167420813,616
7,0.3690364956855774,0.9705882352941176,0.9703703703703703,1.0,0.9849624060150376,"[1, 4, 0, 131]",1.6667,81.6,10.2,3.1855203619909505,704
8,0.3649629056453705,0.9779411764705882,0.9776119402985075,1.0,0.9886792452830189,"[2, 3, 0, 131]",1.6694,81.465,10.183,3.583710407239819,792
9,0.36090901494026184,0.9779411764705882,0.9776119402985075,1.0,0.9886792452830189,"[2, 3, 0, 131]",1.7195,79.093,9.887,3.981900452488688,880
